property_name,total_area_sqft,price,rera_number,created_at
"2 BHK Flat for Sale in Pammal, Chennai",810.0,6260000.0,,2024-11-28 13:52:12.993702
"2 BHK Flat for Sale in Thirumazhisai, Chennai",575.0,3540000.0,,2024-11-28 13:52:12.994206
"3 BHK Flat for Sale in Tambaram West Tambaram, Chennai",1176.0,6200000.0,,2024-11-28 13:52:12.994206
"3 BHK Flat for Sale in Velachery, Chennai",1916.0,29000000.0,,2024-11-28 13:52:12.994206
"3 BHK Flat for Sale in Padur, Chennai",1430.0,8610000.0,,2024-11-28 13:52:12.994206
"2 BHK Flat for Sale in Semmancheri, Chennai",923.0,4890000.0,,2024-11-28 13:52:12.994206
"3 BHK Flat for Sale in Perungudi, Chennai",1723.0,16500000.0,,2024-11-28 13:52:12.994206
"3 BHK Flat for Sale in Thiruvanmiyur, Chennai",1666.0,22900000.0,,2024-11-28 13:52:12.994206
"2 BHK Flat for Sale in Valasaravakkam, Chennai",999.0,9060000.0,,2024-11-28 13:52:12.994206
"3 BHK Flat for Sale in Porur, Chennai",1745.0,14000000.0,,2024-11-28 13:52:12.997709
"3 BHK Flat for Sale in East Tambaram, Chennai",1357.0,9210000.0,,2024-11-28 13:52:12.997709
"2 BHK Flat for Sale in Old Mahabalipuram Road Chennai, Chennai",885.0,6060000.0,,2024-11-28 13:52:12.998223
"2 BHK Flat for Sale in Kelambakkam, Chennai",1107.0,5530000.0,,2024-11-28 13:52:12.998223
"3 BHK Flat for Sale in Medavakkam, Chennai",1670.0,10800000.0,,2024-11-28 13:52:12.999338
"3 BHK Flat for Sale in Thiruvanmiyur, Chennai",968.0,19600000.0,,2024-11-28 13:52:12.999338
"3 BHK Flat for Sale in Mylapore, Chennai",1449.0,41400000.0,,2024-11-28 13:52:12.999338
"3 BHK Flat for Sale in Tondiarpet, Chennai",1609.0,9970000.0,,2024-11-28 13:52:12.999338
"3 BHK Flat for Sale in Triplicane, Chennai",1570.0,24100000.0,,2024-11-28 13:52:13.000868
"2 BHK Flat for Sale in Chettipunyam, Chennai",616.0,3010000.0,,2024-11-28 13:52:13.000868
"2 BHK Flat for Sale in Anna Nagar, Chennai",791.0,17200000.0,,2024-11-28 13:52:13.001889
"2 BHK Flat for Sale in East Tambaram, Chennai",1508.0,12200000.0,,2024-11-28 13:52:13.001889
"3 BHK Flat for Sale in Medavakkam, Chennai",1453.0,9150000.0,,2024-11-28 13:52:13.001889
"3 BHK Flat for Sale in Sholinganallur, Chennai",1500.0,8540000.0,,2024-11-28 13:52:13.001889
"2 BHK Flat for Sale in Thazhambur, Chennai",1011.0,5500000.0,,2024-11-28 13:52:13.001889
"3 BHK Flat for Sale in Navyug Magnolia, Rash Behari Avenue, Kolkata",1570.0,19600000.0,,2024-11-28 13:52:22.101791
"4 BHK Flat for Sale in Urbana Phase 2, Anandapur, Kolkata",2846.0,63000000.0,,2024-11-28 13:52:22.101791
"3 BHK Flat for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat, Kolkata",1188.0,12200000.0,,2024-11-28 13:52:22.102821
"3 BHK Flat for Sale in Dream Gurukul, Madhyamgram, Kolkata",1291.0,7509999.999999999,,2024-11-28 13:52:22.102821
"4 BHK Flat for Sale in Sansara, Howrah, Kolkata",3364.0,34000000.0,,2024-11-28 13:52:22.102821
"3 BHK Flat for Sale in The Pride, Sonarpur, Kolkata",1244.0,5850000.0,,2024-11-28 13:52:22.103829
"3 BHK Flat for Sale in JPK Swati Abha, Rajarhat, Kolkata",1060.0,5100000.0,,2024-11-28 13:52:22.103829
"5 BHK Flat for Sale in Sansara, Howrah, Kolkata",4885.0,55800000.0,,2024-11-28 13:52:22.103829
"4 BHK Flat for Sale in Sansara, Howrah, Kolkata",3364.0,34000000.0,,2024-11-28 13:52:22.104860
"2 BHK Flat for Sale in Bitasta Residency, Chinar Park, Rajarhat, Kolkata",980.0,4410000.0,,2024-11-28 13:52:22.105369
"2 BHK Flat for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat, Kolkata",970.0,7500000.0,,2024-11-28 13:52:22.105369
"4 BHK Flat for Sale in Siddha Serena, Rajarhat, Kolkata",1415.0,18700000.0,,2024-11-28 13:52:22.105369
"2 BHK Flat for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat, Kolkata",970.0,7500000.0,,2024-11-28 13:52:22.106374
"3 BHK Flat for Sale in Elevate at Godrej Seven, Joka, Kolkata",888.0,8880000.0,,2024-11-28 13:52:22.106374
"4 BHK Flat for Sale in Navya, Madhyamgram, Kolkata",1093.0,7870000.0,,2024-11-28 13:52:22.106374
"3 BHK Flat for Sale in Suncrest Estate, Rajpur, Kolkata",1133.0,4760000.0,,2024-11-28 13:52:22.107379
"4 BHK Flat for Sale in Vinayak Amara, New Town, Kolkata",1313.0,18500000.0,,2024-11-28 13:52:22.107883
"4 BHK Flat for Sale in PS Vaanya, New Town, Kolkata",2345.0,35300000.0,,2024-11-28 13:52:22.107883
"3 BHK Flat for Sale in Siddha Serena, Rajarhat, Kolkata",1138.0,10000000.0,,2024-11-28 13:52:22.108421
"3 BHK Flat for Sale in Rajwada Luxuria, Rajpur Sonarpur, Kolkata",1240.0,5570000.0,,2024-11-28 13:52:22.108421
"4 BHK Flat for Sale in Emami Aamod, New Alipore, Kolkata",2724.0,39000000.0,,2024-11-28 13:52:22.108421
"3 BHK Flat for Sale in Optima Phase 1, Rajarhat, Kolkata",1500.0,9960000.0,,2024-11-28 13:52:22.109358
"4 BHK Flat for Sale in Emami Aamod, New Alipore, Kolkata",2724.0,39000000.0,,2024-11-28 13:52:22.109875
"4 BHK Flat for Sale in Vinayak Amara, New Town, Kolkata",1770.0,23100000.0,,2024-11-28 13:52:22.109875
"4 BHK Flat for Sale in PS ONE10, New Town, Kolkata",2800.0,46100000.0,,2024-11-28 13:52:22.109875
"3 BHK Flat for Sale in GRK Ivana, Nayabad, Kolkata",1261.0,8580000.0,,2024-11-28 13:52:22.110880
"3 BHK Flat for Sale in DTC Sojon, Joka, Kolkata",1460.0,7940000.000000001,,2024-11-28 13:52:22.110880
"4 BHK Flat for Sale in Vinayak Amara, New Town, Kolkata",2491.0,27599999.999999996,,2024-11-28 13:52:22.110880
"3 BHK Flat for Sale in DTC Capital City, Rajarhat, Kolkata",1430.0,7070000.0,,2024-11-28 13:52:22.111880
"3 BHK Flat for Sale in Siddha Serena, Rajarhat, Kolkata",1046.0,10200000.0,,2024-11-28 13:52:22.111880
"3 BHK Flat for Sale in RJ Pashmina, Chandkheda, Ahmedabad",3024.0,14000000.0,,2024-11-28 13:52:30.307436
"3 BHK Flat for Sale in Kavisha The Portrait, Shela, Ahmedabad",1413.0,10700000.0,,2024-11-28 13:52:30.307436
"4 BHK Flat for Sale in THE REGAL, Vaishnodevi Circle, Ahmedabad",3879.0,18100000.0,,2024-11-28 13:52:30.308443
"3 BHK Flat for Sale in Ideal Imbert, Chharodi, Ahmedabad",295.0,12600000.0,,2024-11-28 13:52:30.308443
"3 BHK Flat for Sale in Vishakha Empyrean, Chharodi, Ahmedabad",4122.0,20600000.0,,2024-11-28 13:52:30.308952
"3 BHK Flat for Sale in Soham Dev Param, Chandkheda, Ahmedabad",1800.0,6820000.0,,2024-11-28 13:52:30.308952
"Apartment for Sale in World Trade Tower, Makarba, Ahmedabad",2096.0,11500000.0,,2024-11-28 13:52:30.308952
"4 BHK Flat for Sale in Saiyamm Apricus 2, Shilaj, Ahmedabad",2200.0,26000000.0,,2024-11-28 13:52:30.309957
"4 BHK Flat for Sale in Riviera Palacio, Shela, Ahmedabad",3829.0,42300000.00000001,,2024-11-28 13:52:30.309957
"3 BHK Flat for Sale in Elenza Gradient, Shela, Ahmedabad",836.0,6880000.0,,2024-11-28 13:52:30.309957
"4 BHK Flat for Sale in Rajshree Regalia, Gota, Ahmedabad",3240.0,15400000.0,,2024-11-28 13:52:30.310956
"3 BHK Flat for Sale in VR Reflection, Shela, Ahmedabad",1750.0,7900000.0,,2024-11-28 13:52:30.310956
"4 BHK Flat for Sale in Saayam, Shilaj, Ahmedabad",1700.0,15400000.0,,2024-11-28 13:52:30.310956
"3 BHK Flat for Sale in Artiz Arcelia, Shilaj, Ahmedabad",1056.0,9130000.0,,2024-11-28 13:52:30.311956
"4 BHK Flat for Sale in The Emberlynn, Ambli Bopal Road, Ahmedabad",3458.0,65900000.0,,2024-11-28 13:52:30.311956
"3 BHK Flat for Sale in Kavisha The Portrait, Shela, Ahmedabad",1035.0,10100000.0,,2024-11-28 13:52:30.311956
"3 BHK Flat for Sale in Elenza Gradient, Shela, Ahmedabad",836.0,6880000.0,,2024-11-28 13:52:30.312956
"4 BHK Flat for Sale in Shilp Residency, Gota, Ahmedabad",2775.0,33000000.0,,2024-11-28 13:52:30.313461
"4 BHK Flat for Sale in Green Park, Sanathal, Ahmedabad",3555.0,33500000.0,,2024-11-28 13:52:30.313461
"3 BHK Flat for Sale in Eklingji satvam, Daskroi, Ahmedabad",968.0,9800000.0,,2024-11-28 13:52:30.313461
"3 BHK Flat for Sale in VR Reflection, Shela, Ahmedabad",1750.0,7900000.0,,2024-11-28 13:52:30.314466
"4 BHK Flat for Sale in HR Eliseo, Shela, Ahmedabad",1554.0,12700000.0,,2024-11-28 13:52:30.314466
"4 BHK Flat for Sale in Ideal Imprint, Jagatpur, Ahmedabad",1856.0,17200000.0,,2024-11-28 13:52:30.314466
"3 BHK Flat for Sale in Shantam Parmeshwar, Gota, Ahmedabad",1300.0,12000000.0,,2024-11-28 13:52:30.315466
"3 BHK Flat for Sale in Sun Urban Park, Daskroi, Ahmedabad",968.0,8800000.0,,2024-11-28 13:52:30.315466
"5 BHK Flat for Sale in Venus Pashmina, Bodakdev, Ahmedabad",7740.0,77400000.0,,2024-11-28 13:52:30.315466
"4 BHK Flat for Sale in HR Eliseo, Shela, Ahmedabad",1554.0,12700000.0,,2024-11-28 13:52:30.316466
"4 BHK Flat for Sale in THE REGAL, Vaishnodevi Circle, Ahmedabad",5599.0,25200000.0,,2024-11-28 13:52:30.316466
"5 BHK Flat for Sale in Times 40, Bodakdev, Ahmedabad",3500.0,57400000.0,,2024-11-28 13:52:30.316466
"3 BHK Flat for Sale in Ivory Orchards, Shilaj, Ahmedabad",861.0,8000000.0,,2024-11-28 13:52:30.317466
